from_stop_id,to_stop_id,transfer_type,min_transfer_time
32120,45801,2,180
32126,434,2,300
32121,32503,2,240
32120,32503,2,360
32121,45802,2,180
32120,45802,2,180
32121,47118,2,180
32121,46191,2,180
32122,47004,2,180
32122,2982,2,120
32123,47004,2,180
32123,2982,2,120
32120,47118,2,180
32120,46191,2,180
32115,1121,2,120
32115,1120,2,120
32142,1248,2,180
32114,1121,2,120
32143,1248,2,180
32114,1120,2,120
32143,32404,2,180
32142,1253,2,180
32120,39054,2,180
32121,39054,2,180
32143,1253,2,180
32142,32404,2,180
32120,11534,2,360
32143,1252,2,180
32121,11534,2,240
32145,1489,2,240
32142,1252,2,180
32144,1489,2,240
32157,1091,2,180
32157,47792,2,180
32159,2087,2,60
32156,47792,2,180
32158,2088,2,60
32156,1091,2,180
32157,1087,2,180
32159,2088,2,60
32156,1087,2,180
32158,2087,2,60
32118,46175,2,180
32121,46088,2,180
32113,3297,2,120
32110,33545,2,180
32117,32002,2,120
32111,33545,2,180
32119,46175,2,180
32114,1122,2,120
32120,46088,2,180
32115,1122,2,120
32116,32002,2,120
32112,3297,2,120
32102,33779,2,240
32103,33779,2,180
32147,3128,2,60
32110,10696,2,120
32145,47607,2,180
32111,10696,2,120
32111,10697,2,120
32145,3156,2,120
32146,3128,2,60
32110,10697,2,120
32144,47607,2,180
32142,12314,2,180
32143,12314,2,180
32144,3156,2,120
32120,34350,2,360
32119,46151,2,180
32118,46151,2,180
32121,34350,2,240
32143,32482,2,180
32142,32482,2,180
32171,1939,2,60
32152,37194,2,180
32169,32299,2,180
32168,944,2,180
32170,1939,2,60
32168,32299,2,180
32170,1940,2,60
32153,37194,2,180
32171,1940,2,60
32153,37195,2,180
32169,944,2,180
32152,37195,2,180
32150,31402,2,240
32153,32782,2,240
32127,11810,2,300
32156,1086,2,180
32152,32782,2,240
32152,31402,2,240
32157,1086,2,180
32157,11014,2,180
32153,31402,2,240
32151,32782,2,240
32150,32782,2,240
32124,30551,2,60
32151,31402,2,240
32126,11810,2,300
32125,30551,2,60
32156,11014,2,180
32130,586,2,60
32165,11713,2,180
32164,256,2,180
32131,547,2,240
32137,42677,2,180
32131,2993,2,240
32130,546,2,240
32126,46644,2,180
32128,2993,2,180
32137,42678,2,180
32582,43021,2,180
32136,42678,2,180
32164,11713,2,180
32130,2992,2,240
32130,2993,2,240
32582,43022,2,180
33222,43021,2,180
32165,256,2,180
32130,547,2,240
32128,2992,2,180
33222,43022,2,180
32129,2993,2,180
32131,586,2,60
32131,587,2,60
32136,42677,2,180
32583,43022,2,180
32583,43021,2,180
32129,2992,2,180
32131,2992,2,240
32131,546,2,240
32127,46644,2,180
32130,587,2,60
32102,33775,2,240
32103,33775,2,180
32103,33782,2,180
32102,33782,2,240
32102,33778,2,240
32103,33778,2,180
33211,2869,2,180
32120,11213,2,120
32153,106,2,60
32152,106,2,60
33211,3336,2,180
33215,34394,2,180
33213,34434,2,180
32119,47255,2,180
33213,34535,2,180
33215,34536,2,180
33219,34411,2,180
33214,34535,2,180
